ID	Drug	Target
105	Idelalisib	"PIK3CD,APDS,IMD14,P110DELTA,PI3K,p110D,CLSTN1,ALC-ALPHA,CDHR12,CST-1,CSTN1,PIK3CD,XB31alpha,alcalpha1,alcalpha2"
106	UNC0638	"EHMT2,BAT8,C6orf30,G9A,GAT8,KMT1C,NG36,EHMT1,EHMT1-IT1,EUHMTASE1,Eu-HMTase1,FP13812,GLP,GLP1,KLEFS1,KMT1D"
107	Cabozantinib	"KDR,CD309,FLK1,VEGFR,VEGFR2,MET,AUTS9,DFNB97,HGFR,RCCP2,c-Met,RNMT,CMT1,CMT1c,MET,Met,RG7MT1,cm1p,hCMT1,hMet,RET,CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,PTC,RET-ELE1,KIT,C-Kit,CD117,MASTC,PBT,SCFR,FLT1,FLT,FLT-1,VEGFR-1,VEGFR1,FLT3,CD135,FLK-2,FLK2,STK1,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3,TEK,CD202B,GLC3E,TIE-2,TIE2,VMCM,VMCM1,AXL,ARK,JTK11,Tyro7,UFO"
108	WZ3105	"SRC,ASV,SRC1,THC6,c-SRC,p60-Src,ROCK2,ROCK-II,NTRK2,EIEE58,GP145-TrkB,OBHD,TRKB,trk-B,FLT3,CD135,FLK-2,FLK2,STK1,IRAK1,IRAK,pelle,others"
109	XMD14-99	"ALK,CD246,NBLST3,CDK7,CAK,CAK1,CDKN7,HCAK,MO15,STK1,p39MO15,LTK,TYK1,others"
110	Quizartinib	"FLT3,CD135,FLK-2,FLK2,STK1"
111	CP724714	"ERBB2,CD340,HER-2,HER-2/neu,HER2,MLN 19,NEU,NGL,TKR1"
112	JW-7-24-1	"LCK,IMD22,LSK,YT16,p56lck,pp58lck"
113	NPK76-II-72-1	"PLK3,CNK,FNK,PLK-3,PRK"
114	STF-62247	"GBF1,ARF1GEF,PTGES2,C9orf15,GBF-1,GBF1,PGES2,mPGES-2,ARFGEF1,ARFGEP1,BIG1,P200,ARFGEF2,BIG2,PVNH2,dJ1164I10.1"
115	NG-25	"MAP3K7,CSCF,FMD2,MEKK7,TAK1,TGF1a,NR2C2,TAK1,TR4,MAP4K2,BL44,GCK,RAB8IP"
116	TL-1-85	"CDK9,C-2k,CDC2L4,CTK1,PITALRE,TAK"
117	VX-11e	"MAPK1,ERK,ERK-2,ERK2,ERT1,MAPK2,P42MAPK,PRKM1,PRKM2,p38,p40,p41,p41mapk,p42-MAPK"
118	FR-180204	"MAPK3,ERK-1,ERK1,ERT2,HS44KDAP,HUMKER1A,P44ERK1,P44MAPK,PRKM3,p44-ERK1,p44-MAPK,MAPK1,ERK,ERK-2,ERK2,ERT1,MAPK2,P42MAPK,PRKM1,PRKM2,p38,p40,p41,p41mapk,p42-MAPK"
119	Tubastatin A	"HDAC1,GON-10,HD1,RPD3,RPD3L1,HDAC6,CPBHM,HD6,JM21,PPP1R90,HDAC8,CDA07,CDLS5,HD8,HDACL1,MRXS6,RPD3,WTS"
120	Zibotentan	"EDNRA,ET-A,ETA,ETA-R,ETAR,ETRA,MFDA,hET-AR"
121	Sepantronium bromide	"BIRC5,API4,EPR-1"
122	NSC-207895	"MDM4,HDMX,MDMX,MRP1"
123	VNLG/124	"HDAC9,HD7,HD7b,HD9,HDAC,HDAC7,HDAC7B,HDAC9B,HDAC9FL,HDRP,MITR,RARA,NR1B1,RAR,RAB40B,RAR,SEC4L"
124	AR-42	"HDAC1,GON-10,HD1,RPD3,RPD3L1"
125	CUDC-101	"HDAC1,GON-10,HD1,RPD3,RPD3L1,HDAC2,HD2,RPD3,YAF1,HDAC3,HD3,RPD3,RPD3-2,HDAC4,AHO3,BDMR,HA6116,HD4,HDAC-4,HDAC-A,HDACA,HDAC5,HD5,NY-CO-9,HDAC6,CPBHM,HD6,JM21,PPP1R90,HDAC9,HD7,HD7b,HD9,HDAC,HDAC7,HDAC7B,HDAC9B,HDAC9FL,HDRP,MITR,HDAC7,HD7,HD7A,HDAC7A,HDAC8,CDA07,CDLS5,HD8,HDACL1,MRXS6,RPD3,WTS,HDAC9,HD7,HD7b,HD9,HDAC,HDAC7,HDAC7B,HDAC9B,HDAC9FL,HDRP,MITR,HDAC10,HD10,EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA,ERBB2,CD340,HER-2,HER-2/neu,HER2,MLN 19,NEU,NGL,TKR1"
126	Belinostat	"HDAC1,GON-10,HD1,RPD3,RPD3L1"
127	I-BET-762	"BRD2,BRD2-IT1,D6S113E,FSH,FSRG1,NAT,O27.1.1,RING3,RNF3,BRD3,ORFX,RING3L,BRD4,CAP,HUNK1,HUNKI,MCAP"
128	CAY10603	"HDAC1,GON-10,HD1,RPD3,RPD3L1,HDAC6,CPBHM,HD6,JM21,PPP1R90"
129	Linifanib	"FLT1,FLT,FLT-1,VEGFR-1,VEGFR1,KDR,CD309,FLK1,VEGFR,VEGFR2,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3,CSF1R,C-FMS,CD115,CSF-1R,CSFR,FIM2,FMS,HDLS,M-CSF-R,FLT3,CD135,FLK-2,FLK2,STK1,KIT,C-Kit,CD117,MASTC,PBT,SCFR,KDR,CD309,FLK1,VEGFR,VEGFR2"
130	BIX02189	"MAP2K5,HsT17454,MAPKK5,MEK5,PRKMK5,MAPK7,BMK1,ERK4,ERK5,PRKM7"
131	Alectinib	"ALK,CD246,NBLST3"
132	Pelitinib	"EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA"
133	Omipalisib	"PIK3CA,CLAPO,CLOVE,CWS5,MCAP,MCM,MCMTC,PI3K,PI3K-alpha,p110-alpha,PIK3CB,P110BETA,PI3K,PI3KBETA,PIK3C1,PIK3CG,PI3CG,PI3K,PI3Kgamma,PIK3,p110gamma,p120-PI3K,PIK3CD,APDS,IMD14,P110DELTA,PI3K,p110D,CLSTN1,ALC-ALPHA,CDHR12,CST-1,CSTN1,PIK3CD,XB31alpha,alcalpha1,alcalpha2,PIK3R1,AGM7,GRB1,IMD36,p85,p85-ALPHA,PIK3R2,MPPH,MPPH1,P85B,p85,p85-BETA,PIK3R3,p55,p55-GAMMA,p55PIK,PIK3R4,VPS15,p150,PIK3R5,F730038I15Rik,FOAP-2,P101-PI3K,p101,PIK3R6,C17orf38,HsT41028,p84 PIKAP,p87(PIKAP),p87PIKAP,AKT1S1,Lobe,PRAS40,MLST8,GBL,GbetaL,LST8,POP3,WAT1,MTOR,FRAP,FRAP1,FRAP2,RAFT1,RAPT1,SKS,RPTOR,KOG1,Mip1,MAPKAP1,JC310,MIP1,SIN1,SIN1b,SIN1g,PRR5,FLJ20185k,PP610,PROTOR-1,PROTOR1,RICTOR,AVO3,PIA,hAVO3"
134	KIN001-236	"ANGPT1,AGP1,AGPT,ANG1"
135	KIN001-244	"PDK,PDPK1,PDK1,PDPK2,PDPK2P,PRO0461"
136	WHI-P97	"JAK3,JAK-3,JAK3_HUMAN,JAKL,L-JAK,LJAK"
137	KIN001-260	"IKBKB,IKK-beta,IKK2,IKKB,IMD15,IMD15A,IMD15B,NFKBIKB"
138	KIN001-266	"MAP3K8,AURA2,COT,EST,ESTF,MEKK8,TPL2,Tpl-2,c-COT"
139	Masitinib	"KIT,C-Kit,CD117,MASTC,PBT,SCFR,PDGFRA,CD140A,PDGFR-2,PDGFR2,PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT"
140	Amuvatinib	"KIT,C-Kit,CD117,MASTC,PBT,SCFR,PDGFRA,CD140A,PDGFR-2,PDGFR2,FLT3,CD135,FLK-2,FLK2,STK1,MET,AUTS9,DFNB97,HGFR,RCCP2,c-Met,RNMT,CMT1,CMT1c,MET,Met,RG7MT1,cm1p,hCMT1,hMet,RET,CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,PTC,RET-ELE1,RAD51,BRCC5,FANCR,HRAD51,HsRad51,HsT16930,MRMV2,RAD51A,RECA"
141	MPS-1-IN-1	"IDUA,IDA,MPS1,RPS27,DBA17,MPS-1,MPS1,S27,TTK,CT96,ESK,MPH1,MPS1,MPS1L1,PYT,MPEG1,MPG1,MPS1,Mpg-1"
142	NVP-BHG712	"EPHB4,CMAVM2,HFASD,HTK,LMPHM7,MYK1,TYRO11"
143	OSI-930	"KIT,C-Kit,CD117,MASTC,PBT,SCFR,FLT1,FLT,FLT-1,VEGFR-1,VEGFR1"
144	OSI-027	"AKT1S1,Lobe,PRAS40,MLST8,GBL,GbetaL,LST8,POP3,WAT1,MTOR,FRAP,FRAP1,FRAP2,RAFT1,RAPT1,SKS,RPTOR,KOG1,Mip1,MAPKAP1,JC310,MIP1,SIN1,SIN1b,SIN1g,PRR5,FLJ20185k,PP610,PROTOR-1,PROTOR1,RICTOR,AVO3,PIA,hAVO3"
145	CX-5461	"POLR1A,A190,AFDCIN,RPA1,RPA194,RPO1-4,RPO14,POLR1B,RPA135,RPA2,Rpo1-2,POLR1C,AC40,HLD11,RPA39,RPA40,RPA5,RPAC1,RPC40,TCS3,POLR1D,AC19,POLR1C,RPA16,RPA9,RPAC2,RPC16,RPO1-3,TCS2,POLR1D,AC19,POLR1C,RPA16,RPA9,RPAC2,RPC16,RPO1-3,TCS2,POLR1E,PAF53,PRAF1"
146	PHA-793887	"CDK2,CDKN2,p33(CDK2),CDK7,CAK,CAK1,CDKN7,HCAK,MO15,STK1,p39MO15,CDK5,LIS7,PSSALRE"
147	PI-103	"PIK3CA,CLAPO,CLOVE,CWS5,MCAP,MCM,MCMTC,PI3K,PI3K-alpha,p110-alpha,DAPK3,DLK,ZIP,ZIPK,CLK4,PIM3,pim-3,HIPK2,PRO0593"
148	PIK-93	"PIK3CG,PI3CG,PI3K,PI3Kgamma,PIK3,p110gamma,p120-PI3K"
149	SB52334	"TGFBR1,AAT5,ACVRLK4,ALK-5,ALK5,ESS1,LDS1,LDS1A,LDS2A,MSSE,SKR4,TBR-i,TBRI,TGFR-1,tbetaR-I"
150	TPCA-1	"IKBKB,IKK-beta,IKK2,IKKB,IMD15,IMD15A,IMD15B,NFKBIKB"
151	Fedratinib	"JAK2,JTK10,THCYT3"
152	Foretinib	"MET,AUTS9,DFNB97,HGFR,RCCP2,c-Met,RNMT,CMT1,CMT1c,MET,Met,RG7MT1,cm1p,hCMT1,hMet,KDR,CD309,FLK1,VEGFR,VEGFR2,TEK,CD202B,GLC3E,TIE-2,TIE2,VMCM,VMCM1,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3,MST1R,CD136,CDw136,NPCA3,PTK8,RON,PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT,FGFR1,BFGFR,CD331,CEK,ECCL,FGFBR,FGFR-1,FLG,FLT-2,FLT2,HBGFR,HH2,HRTFDS,KAL2,N-SAM,OGD,bFGF-R-1,EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA,HGF,DFNB39,F-TCF,HGFB,HPTA,SF,IL6,BSF-2,BSF2,CDF,HGF,HSF,IFN-beta-2,IFNB2,IL-6,SOS1,GF1,GGF1,GINGF,HGF,NS4,SOS-1,KDR,CD309,FLK1,VEGFR,VEGFR2"
153	Y-39983	"ROCK1,P160ROCK,ROCK-I,ROCK2,ROCK-II"
154	YM201636	"PIKFYVE,CFD,FAB1,HEL37,PIP5K,PIP5K3,ZFYVE29"
155	Tivozanib	"FLT1,FLT,FLT-1,VEGFR-1,VEGFR1,KDR,CD309,FLK1,VEGFR,VEGFR2,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3"
156	GSK690693	"AKT1,AKT,CWS6,PKB,PKB-ALPHA,PRKBA,RAC,RAC-ALPHA,AKT2,HIHGHH,PKBB,PKBBETA,PRKBB,RAC-BETA,AKT3,MPPH,MPPH2,PKB-GAMMA,PKBG,PRKBG,RAC-PK-gamma,RAC-gamma,STK-2"
157	SNX-2112	"HSP90AA1,EL52,HEL-S-65p,HSP86,HSP89A,HSP90A,HSP90N,HSPC1,HSPCA,HSPCAL1,HSPCAL4,HSPN,Hsp103,Hsp89,Hsp90,LAP-2,LAP2,HSP90AB1,D6S182,HSP84,HSP90B,HSPC2,HSPCB"
158	QL-XI-92	"DDR1,CAK,CD167,DDR,EDDR1,HGK2,MCK10,NEP,NTRK4,PTK3,PTK3A,RTK6,TRKE"
159	XMD13-2	"RIPK1,IMD57,RIP,RIP-1,RIP1"
160	QL-X-138	"BTK,AGMX1,AT,ATK,BPK,IGHD3,IMD1,PSCTK1,XLA"
161	XMD15-27	"CAMK2B,CAM2,CAMK2,CAMKB,MRD54"
162	T0901317	"LXR,NR1H4,BAR,FXR,HRR-1,HRR1,PFIC5,RIP14,NR1H2,LXR-b,LXRB,NER,NER-I,RIP15,UNR,NR1H2,LXR-b,LXRB,NER,NER-I,RIP15,UNR,NR1H2,LXR-b,LXRB,NER,NER-I,RIP15,UNR,NR1H2,LXR-b,LXRB,NER,NER-I,RIP15,UNR,NR1H2,LXR-b,LXRB,NER,NER-I,RIP15,UNR,NR1H2,LXR-b,LXRB,NER,NER-I,RIP15,UNR,P2RY4,NRU,P2P,P2Y4,UNR,NR1H2,LXR-b,LXRB,NER,NER-I,RIP15,UNR,CSDE1,D1S155E,UNR,NR1H3,LXR-a,LXRA,RLD-1,NR1H3,LXR-a,LXRA,RLD-1,NR1H3,LXR-a,LXRA,RLD-1,NR1H3,LXR-a,LXRA,RLD-1"
163	Selisistat	"SIRT1,SIR2,SIR2L1,SIR2alpha"
164	THZ-2-49	"CDK9,C-2k,CDC2L4,CTK1,PITALRE,TAK"
165	KIN001-270	"CDK9,C-2k,CDC2L4,CTK1,PITALRE,TAK"
166	THZ-2-102-1	"CDK7,CAK,CAK1,CDKN7,HCAK,MO15,STK1,p39MO15"
167	AICA Ribonucleotide	"ATIC,AICAR,AICARFT,HEL-S-70p,IMPCHASE,PURH"
168	Vinblastine	"TUBA1A,B-ALPHA-1,LIS3,TUBA3,TUBB2A,CDCBM5,TUBB,TUBB2,TUBB,CDCBM6,CSCSC1,M40,OK/SW-cl.56,TUBB1,TUBB5,TUBD1,TUBD,TUBG1,CDCBM4,GCP-1,TUBG,TUBGCP1,TUBE1,TUBE,dJ142L7.2,JUN,AP-1,AP1,c-Jun,p39"
169	Cisplatin	"MPG,AAG,ADPG,APNG,CRA36.1,MDG,Mid1,PIG11,PIG16,anpg,A2M,A2MD,CPAMD5,FWP007,S863-7,F3,CD142,TF,TFA,TF,HEL-S-71p,PRO1557,PRO2086,TFQTL1,ATOX1,ATX1,HAH1,ATM,AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1,ATR,FCTCS,FRP1,MEC1,SCKL,SCKL1,ANTXR1,ATR,GAPO,TEM8,MMAB,ATR,CFAP23,cblB,cob,SERPINA2,ARGS,ATR,PIL,SERPINA2P,psiATR,PRKDC,DNA-PKC,DNA-PKcs,DNAPK,DNAPKc,DNPK1,HYRC,HYRC1,IMD26,XRCC7,p350"
170	Cytarabine	"POLB,POLG2,HP55,MTPOLB,PEOA4,POLB,POLG-BETA,POLGB,ATM,AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1,ATR,FCTCS,FRP1,MEC1,SCKL,SCKL1,ANTXR1,ATR,GAPO,TEM8,MMAB,ATR,CFAP23,cblB,cob,SERPINA2,ARGS,ATR,PIL,SERPINA2P,psiATR,CHEK1,CHK1"
171	Docetaxel	"TUBB1,TUBB,CDCBM6,CSCSC1,M40,OK/SW-cl.56,TUBB1,TUBB5,BCL2,Bcl-2,PPP1R50,MAP2,MAP-2,MAP2A,MAP2B,MAP2C,METAP2,MAP2,MNPEP,p67eIF2,MAP4,MAPT,DDPAC,FTDP-17,MAPTL,MSTD,MTBT1,MTBT2,PPND,PPP1R103,TAU,NR1I2,BXR,ONR1,PAR,PAR1,PAR2,PARq,PRR,PXR,SAR,SXR"
172	Methotrexate	"DHFR,DHFRP1,DYR,TYMS,HST422,TMS,TS,ATIC,AICAR,AICARFT,HEL-S-70p,IMPCHASE,PURH"
173	Tretinoin	"RXRB,DAUDI6,H-2RIIBP,NR2B2,RCoR-1,RXRG,NR2B3,RXRC,RARG,NR1B3,RARC,ALDH1A1,ALDC,ALDH-E1,ALDH1,ALDH11,HEL-9,HEL-S-53e,HEL12,PUMB1,RALDH1,GPRC5A,GPCR5A,PEIG-1,RAI3,RAIG1,TIG1,NR0B1,AHC,AHCH,AHX,DAX-1,DAX1,DSS,GTD,HHG,NROB1,SRXY2,ALDH1A2,RALDH(II),RALDH2,RALDH2-T,RARRES1,LXNL,PERG-1,TIG1,RARA,NR1B1,RAR,RARB,HAP,MCOPS12,NR1B2,RARbeta1,RRB2,LCN1,PMFA,TLC,TP,VEGP,OBP2A,LCN13,OBP,OBP2C,OBPIIa,hOBPIIa,POLR2D,HSRBP4,HSRPB4,RBP4,RPB16,RBP4,MCOPCB10,RDCCAS,PDK4,RXRA,NR2B1,CYP26A1,CP26,CYP26,P450RAI,P450RAI1,CYP26B1,CYP26A2,P450RAI-2,P450RAI2,RHFCA,CYP26C1,FFDD4,HPGDS,GSTS,GSTS1,GSTS1-1,PGD2,PGDS"
174	Gefitinib	"EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA"
175	Navitoclax	"BCL2,Bcl-2,PPP1R50,BCL-XL,BCL2L2,BCL-W,BCL2-L-2,BCLW,PPP1R51,BCL2L2,BCL-W,BCL2-L-2,BCLW,PPP1R51,BAD,BBC2,BCL2L8"
176	Vorinostat	"HDAC1,GON-10,HD1,RPD3,RPD3L1,HDAC2,HD2,RPD3,YAF1,HDAC3,HD3,RPD3,RPD3-2,HDAC6,CPBHM,HD6,JM21,PPP1R90,HDAC8,CDA07,CDLS5,HD8,HDACL1,MRXS6,RPD3,WTS,acuC1"
177	Nilotinib	"ABL1,ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,KIT,C-Kit,CD117,MASTC,PBT,SCFR"
178	Refametinib	"MAP2K1,CFC3,MAPKK1,MEK1,MKK1,PRKMK1,MAP2K2,CFC4,MAPKK2,MEK2,MKK2,PRKMK2"
179	CI-1040	"MAP2K1,CFC3,MAPKK1,MEK1,MKK1,PRKMK1,MAP2K2,CFC4,MAPKK2,MEK2,MKK2,PRKMK2"
180	Temsirolimus	"MTOR,FRAP,FRAP1,FRAP2,RAFT1,RAPT1,SKS"
181	Olaparib	"PARP1,ADPRT,ADPRT 1,ADPRT1,ARTD1,PARP,PARP-1,PPOL,pADPRT-1,PARP2,ADPRT2,ADPRTL2,ADPRTL3,ARTD2,PARP-2,pADPRT-2,PARP3,ADPRT3,ADPRTL2,ADPRTL3,ARTD3,IRT1,PADPRT-3"
182	Veliparib	"PARP1,ADPRT,ADPRT 1,ADPRT1,ARTD1,PARP,PARP-1,PPOL,pADPRT-1,PARP2,ADPRT2,ADPRTL2,ADPRTL3,ARTD2,PARP-2,pADPRT-2"
183	Bosutinib	"BCR,ALL,BCR1,CML,D22S11,D22S662,PHL,RN7SL263P,BCR,rbc,ABL1,ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,LYN,JTK8,p53Lyn,p56Lyn,HCK,JTK9,p59Hck,p61Hck,SRC,ASV,SRC1,THC6,c-SRC,p60-Src,CDK2,CDKN2,p33(CDK2),MAP2K1,CFC3,MAPKK1,MEK1,MKK1,PRKMK1,MAP2K2,CFC4,MAPKK2,MEK2,MKK2,PRKMK2,MAP3K2,MEKK2,MEKK2B,CAMK2G,CAMK,CAMK-II,CAMKG,TEC,PSCTK4,NR4A3,CHN,CSMF,MINOR,NOR1,TEC,RHBDF2,RHBDL5,RHBDL6,TEC,TOC,TOCG,iRhom2,TEC"
184	Lenalidomide	"CRBN,MRT2,MRT2A,TNFSF11,CD254,ODF,OPGL,OPTB2,RANKL,TNLG6B,TRANCE,hRANKL2,sOdf,CDH5,7B4,CD144,PTGS2,COX-2,COX2,GRIPGHS,PGG/HS,PGHS-2,PHS-2,hCox-2"
185	Axitinib	"PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT,KIT,C-Kit,CD117,MASTC,PBT,SCFR,KDR,CD309,FLK1,VEGFR,VEGFR2,FLT1,FLT,FLT-1,VEGFR-1,VEGFR1,KDR,CD309,FLK1,VEGFR,VEGFR2,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3"
186	AZD7762	"CHEK1,CHK1,CHEK2,CDS1,CHK2,HuCds1,LFS2,PP1425,RAD53,hCds1"
187	GW441756	"NTRK1,MTC,TRK,TRK1,TRKA,Trk-A,p140-TrkA"
188	Lestaurtinib	"FLT3,CD135,FLK-2,FLK2,STK1,JAK2,JTK10,THCYT3,NTRK1,MTC,TRK,TRK1,TRKA,Trk-A,p140-TrkA,NTRK2,EIEE58,GP145-TrkB,OBHD,TRKB,trk-B,NTRK3,GP145-TrkC,TRKC,gp145(trkC)"
189	SB216763	"GSK3A,GSK3B"
190	Tanespimycin	"HSP90AA1,EL52,HEL-S-65p,HSP86,HSP89A,HSP90A,HSP90N,HSPC1,HSPCA,HSPCAL1,HSPCAL4,HSPN,Hsp103,Hsp89,Hsp90,LAP-2,LAP2,HSP90AB1,D6S182,HSP84,HSP90B,HSPC2,HSPCB"
191	VX-702	"CRK,CRKII,p38,MAPK14,CSBP,CSBP1,CSBP2,CSPB1,EXIP,Mxi2,PRKM14,PRKM15,RK,SAPK2A,p38,p38ALPHA,MAPK1,ERK,ERK-2,ERK2,ERT1,MAPK2,P42MAPK,PRKM1,PRKM2,p38,p40,p41,p41mapk,p42-MAPK,AHSA1,AHA1,C14orf3,hAha1,p38,POLDIP2,PDIP38,POLD4,p38,MAPK14,CSBP,CSBP1,CSBP2,CSPB1,EXIP,Mxi2,PRKM14,PRKM15,RK,SAPK2A,p38,p38ALPHA,TNF,DIF,TNF-alpha,TNFA,TNFSF2,TNLG1F,IL1B,IL-1,IL1-BETA,IL1F2,IL6,BSF-2,BSF2,CDF,HGF,HSF,IFN-beta-2,IFNB2,IL-6"
192	Motesanib	"KDR,CD309,FLK1,VEGFR,VEGFR2,RET,CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,PTC,RET-ELE1,KIT,C-Kit,CD117,MASTC,PBT,SCFR,PDGFRB,CD140B,IBGC4,IMF1,JTK12,KOGS,PDGFR,PDGFR-1,PDGFR1,PENTT"
193	KU-55933	"ATM,AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1"
194	Elesclomol	"HSP90AA1,EL52,HEL-S-65p,HSP86,HSP89A,HSP90A,HSP90N,HSPC1,HSPCA,HSPCAL1,HSPCAL4,HSPN,Hsp103,Hsp89,Hsp90,LAP-2,LAP2,HSP90AB1,D6S182,HSP84,HSP90B,HSPC2,HSPCB"
195	Afatinib	"ERBB2,CD340,HER-2,HER-2/neu,HER2,MLN 19,NEU,NGL,TKR1,EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA,ERBB4,ALS19,HER4,p180erbB4"
196	Vismodegib	"SMO,CRJS,FZD11,Gx,SMOH,SMOX,C20orf16,PAO,PAO-1,PAO1,PAOH,PAOH1,SMO"
197	PLX-4720	"BRAF,B-RAF1,B-raf,BRAF1,NS7,RAFB1"
198	BX795	"TBK1,FTDALS4,IIAE8,NAK,T2K,PDK1,PDPK1,PDK1,PDPK2,PDPK2P,PRO0461,PDPK1,PDK1,PDPK2,PDPK2P,PRO0461,IKK,AURKB,AIK2,AIM-1,AIM1,ARK-2,ARK2,AurB,IPL1,PPP1R48,STK-1,STK12,STK5,aurkb-sv1,aurkb-sv2,AURKC,AIE2,AIK3,ARK3,AurC,HEL-S-90,SPGF5,STK13,aurora-C"
199	NU7441	"PRKDC,DNA-PKC,DNA-PKcs,DNAPK,DNAPKc,DNPK1,HYRC,HYRC1,IMD26,XRCC7,p350"
200	SL0101	"RPS6KA1,HU-1,MAPKAPK1A,RSK,RSK1,p90Rsk,RPS6KA2,HU-2,MAPKAPK1C,RSK,RSK3,S6K-alpha,S6K-alpha2,p90-RSK3,p90RSK2,pp90RSK3,RPS6KA3,CLS,HU-3,ISPK-1,MAPKAPK1B,MRX19,RSK,RSK2,S6K-alpha3,p90-RSK2,pp90RSK2,AURKB,AIK2,AIM-1,AIM1,ARK-2,ARK2,AurB,IPL1,PPP1R48,STK-1,STK12,STK5,aurkb-sv1,aurkb-sv2,PIM1,PIM,LONP1,CODASS,LON,LONP,LonHS,PIM1,PRSS15,hLON,PIM3,pim-3"
201	Doramapimod	"CRK,CRKII,p38,MAPK14,CSBP,CSBP1,CSBP2,CSPB1,EXIP,Mxi2,PRKM14,PRKM15,RK,SAPK2A,p38,p38ALPHA,MAPK1,ERK,ERK-2,ERK2,ERT1,MAPK2,P42MAPK,PRKM1,PRKM2,p38,p40,p41,p41mapk,p42-MAPK,AHSA1,AHA1,C14orf3,hAha1,p38,POLDIP2,PDIP38,POLD4,p38,MAPK14,CSBP,CSBP1,CSBP2,CSPB1,EXIP,Mxi2,PRKM14,PRKM15,RK,SAPK2A,p38,p38ALPHA,MAPK9,JNK-55,JNK2,JNK2A,JNK2ALPHA,JNK2B,JNK2BETA,PRKM9,SAPK,SAPK1a,p54a,p54aSAPK"
202	JNK Inhibitor VIII	"MAPK8,JNK,JNK-46,JNK1,JNK1A2,JNK21B1/2,PRKM8,SAPK1,SAPK1c"
203	Wee1 Inhibitor	"WEE1,WEE1A,WEE1hu,CHEK1,CHK1"
204	Nutlin-3a (-)	"MDM2,ACTFS,HDMX,hdm2"
205	PD173074	"FGFR1,BFGFR,CD331,CEK,ECCL,FGFBR,FGFR-1,FLG,FLT-2,FLT2,HBGFR,HH2,HRTFDS,KAL2,N-SAM,OGD,bFGF-R-1,FGFR3,ACH,CD333,CEK2,HSFGFR3EX,JTK4"
206	ZM447439	"AURKA,AIK,ARK1,AURA,BTAK,PPP1R47,STK15,STK6,STK7,AURKB,AIK2,AIM-1,AIM1,ARK-2,ARK2,AurB,IPL1,PPP1R48,STK-1,STK12,STK5,aurkb-sv1,aurkb-sv2"
207	RO-3306	"CDK1,CDC2,CDC28A,P34CDC2"
208	MK-2206	"AKT1,AKT,CWS6,PKB,PKB-ALPHA,PRKBA,RAC,RAC-ALPHA,AKT2,HIHGHH,PKBB,PKBBETA,PRKBB,RAC-BETA"
209	Palbociclib	"CDK4,CMM3,PSK-J3,CDK6,MCPH12,PLSTIRE"
